proposal_id,predicted_R,uncertainty,beats_baseline,skewness,kurtosis,zero_crossing_rate,max_acceleration,fixed_amplitude,fixed_period,fixed_reynolds,w_00,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49,w_50,w_51,w_52,w_53,w_54,w_55,w_56,w_57,w_58,w_59,w_60,w_61,w_62,w_63
1,0.22817615928260004,0.016764539532997034,True,-0.028567191,-1.8729975,0.015625,43.56771,4.5,125.0,180,0.39048558,0.5720324,0.6774361,0.73724455,0.75293493,0.7335533,0.6913501,0.6252797,0.46888107,0.4679272,0.49465457,0.56427044,0.68348646,0.76945454,0.83897066,0.89560366,0.91555005,0.92065364,0.89945763,0.87144876,0.84933907,0.8141289,0.81074464,0.8248567,0.8657031,0.8819596,0.90655595,0.9309101,0.94590575,0.95215744,0.91309553,0.8217466,0.1410011,-0.25229532,-0.48591697,-0.6493916,-0.73016036,-0.76807654,-0.7818509,-0.814913,-0.82911325,-0.8168978,-0.85325664,-0.857454,-0.8660504,-0.89497143,-0.90567243,-0.92638206,-0.9278744,-0.923698,-0.9006824,-0.86273706,-0.8205608,-0.78654194,-0.7509378,-0.7681428,-0.79038924,-0.8303822,-0.8755011,-0.86473966,-0.84418243,-0.77180064,-0.6600581,-0.44459555
2,0.21401083229863974,0.0163424521868538,True,0.047190625,-1.7613785,0.015625,36.00406,4.5,125.0,180,0.18733267,0.5336981,0.76563704,0.88409525,0.9205437,0.9156529,0.864778,0.73854405,0.50680697,0.31675693,0.17285098,0.13860995,0.19210546,0.26603627,0.43371418,0.587406,0.67571324,0.7330988,0.7455066,0.72320145,0.6932898,0.6480029,0.6417941,0.6517813,0.67806697,0.6856749,0.74016887,0.79337823,0.8294399,0.8569234,0.832343,0.743971,0.18140754,-0.15949984,-0.41361308,-0.5959787,-0.68992573,-0.72737706,-0.71866083,-0.7329446,-0.7073541,-0.66701144,-0.6555877,-0.6173298,-0.6477477,-0.71310735,-0.7728223,-0.8298316,-0.8478656,-0.8189555,-0.758458,-0.70845395,-0.5974475,-0.4918767,-0.4251457,-0.46553916,-0.53560954,-0.6403994,-0.7374397,-0.79593074,-0.79452664,-0.761443,-0.67435735,-0.47869548
3,0.10010230628093852,0.049247866316917306,False,0.1776632,-1.2727935,0.03125,26.05535,4.5,125.0,180,-0.49544647,-0.42614168,-0.31069794,-0.2188476,-0.307744,-0.4210665,-0.5913302,-0.7520632,-0.81199884,-0.8288941,-0.7854778,-0.7159903,-0.6165897,-0.4498239,-0.18499275,-0.07874519,-0.019374084,-0.068627246,-0.23342164,-0.38655248,-0.58830327,-0.7080277,-0.76364607,-0.7714225,-0.75053287,-0.611797,-0.42389253,-0.18897538,0.058420002,0.1382943,0.21440847,0.18960674,0.20166355,0.16340928,0.20848909,0.3364413,0.49323317,0.63536817,0.7523788,0.83406484,0.87458736,0.8713873,0.8516588,0.76343876,0.6176082,0.4255274,0.24418607,0.097279646,0.10452862,0.24688837,0.46360818,0.6994851,0.8259465,0.90263164,0.93261063,0.9209293,0.8412682,0.66088027,0.3632529,-0.043861914,-0.32038844,-0.49181274,-0.53514683,-0.5225439
